,activity_rate,mean_norm_activation,cv,top_smiles
25,1e-04,0.0,0.0,[]
26,0.0027,0.30634257,0.9681745171546936,"['Cc1cc(=O)[nH]c(Sc2nc(C)cc(=O)[nH]2)n1', 'CCc1cc(=O)[nH]c(N2CCN(C(C)=O)CC2)n1', 'Nc1cc(=O)[nH]c(SCCOc2ccccc2)n1', 'Cc1cc(=O)[nH]c(NCCNC(=O)Nc2ccc(C(C)(C)C)cc2)n1', 'Cc1cc(=O)[nH]c(N2CCN(c3cccc(C(F)(F)F)c3)CC2)n1', 'Cc1cc(=O)[nH]c(-c2cccc(NC(=O)c3cc(Cl)c[nH]3)c2)n1', 'Cc1cc(=O)[nH]c(-c2cccc(NC(=O)CC3C=CCC3)c2)n1', 'Nc1cc(=O)[nH]c(SCC(=O)c2c[nH]c3ccccc23)n1', 'Cn1c(=O)[nH]c(N2CCCC2)c(Cc2cccc(Cl)c2)c1=O', 'Nc1cc(=O)[nH]c(CCNC(=O)c2cccc3ccnn23)n1']"
27,0.0015,0.5198716,0.5779010653495789,"['CCOC(C)c1nc(CSc2ccc(C)cn2)cs1', 'CCOC(C)C(=O)Oc1ccc(C)cc1Br', 'CCOC(C)C(=O)Nc1cc(C)cc2cccnc12', 'CCOC(C)C(=O)Oc1ccc(C(C)C)c(C)c1', 'CCOC(CC)C(=O)Nc1ccc(C(=O)Nc2cccnc2)cc1', 'CCOC(C)C(=O)Nc1nc(-c2ccc(F)c(F)c2)cs1', 'CCOC(CC)C(=O)N1CCC(CC(=O)N2CCCC2)CC1', 'CCOC(C)C(=O)Nc1nc(-c2ccc(OC(C)C)cc2)cs1', 'CCOC(C)c1nc(CN(C)C(=O)Nc2cnccc2C)cs1', 'CCOC(C)c1noc(CNc2ccccc2-n2cccn2)n1']"
28,1e-04,0.0,0.0,[]
29,0.0145,0.31997693,0.7148810029029846,"['C=CCc1cc(CN2CCN(C(C)C(N)=O)CC2)cc(OC)c1O', 'Cc1cc2c(N3CCN(C(=O)OC(C)(C)C)CC3)cccc2cn1', 'CCCc1nc(CN2CCN(C(=O)CCC(C)C)CC2)no1', 'CCOc1ccc(CN2CCN(C(=O)NCCOC)CC2)cc1', 'Cc1ccc(CCC2CCN(S(C)(=O)=O)CC2)cc1', 'CCOc1ccc(CCC2CCN(C(=O)COC)CC2)cc1', 'Cn1ccc(NC2CCN(CC(F)(F)F)CC2)n1', 'CCOc1cc(CN2CCN(C(=O)C(C)O)CC2)ccc1OC', 'CCCn1nc(C)c(CN2CCC(NS(C)(=O)=O)C2)c1C', 'CN(c1nc(CN2CCC(O)(C(F)(F)F)CC2)cs1)C1CC1']"
30,0.0002,0.5,0.0,"['CCNC(=O)C(C)NC(=O)NCC(=O)N(CC)CC', 'COC(C)(C)CC(C)(NCC(F)(F)F)C(N)=O']"
31,0.0002,0.5,0.0,"['Cc1ccc(S(=O)(=O)N2C(=O)C(=O)c3cc(C)ccc32)cc1', 'CCOC(=O)c1ccc(N2C(=O)CC(C(=O)OC)=C2C)cc1']"
32,1e-04,0.0,0.0,[]
33,1e-04,1.0,0.0,['CC(C)C(=O)NCC#CCOc1cccc2cccnc12']
34,1e-04,0.0,0.0,[]
